name,imageUrl,category,description,price
Biore UV Aqua Rich Watery Essence SPF 50,https://images.pexels.com/photos/3738352/pexels-photo-3738352.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,Lightweight Japanese sunscreen with high UV protection.,1199
Ole Henriksen Truth Serum Vitamin C,https://images.pexels.com/photos/3738355/pexels-photo-3738355.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Brightening serum with vitamin C complex and collagen boosters.,3499
Aveeno Daily Moisturizing Lotion,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Daily moisturizer with colloidal oatmeal for dry skin.,899
Tatcha The Water Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,"Oil-free, pore-perfecting moisturizer with Japanese wild rose.",6999
Dermalogica Daily Microfoliant,https://images.pexels.com/photos/3735636/pexels-photo-3735636.jpeg?auto=compress&cs=tinysrgb&w=600,Exfoliator,Rice-based powder exfoliant that activates with water.,3999
EltaMD UV Clear Broad-Spectrum SPF 46,https://images.pexels.com/photos/3738351/pexels-photo-3738351.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,Oil-free sunscreen with niacinamide for acne-prone and sensitive skin.,2499
Kiehl's Midnight Recovery Concentrate,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Overnight face oil with botanical oils to restore and replenish skin.,4499
CeraVe Foaming Facial Cleanser,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Foaming cleanser with ceramides for normal to oily skin.,1199
The Ordinary Hyaluronic Acid 2% + B5,https://images.pexels.com/photos/3738371/pexels-photo-3738371.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Hydration support formula with multi-weight hyaluronic acid.,699
Olay Total Effects 7-in-1 Anti-Aging Moisturizer,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Multi-benefit moisturizer with niacinamide and vitamins.,1499
La Mer Crème de la Mer,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Luxury moisturizing cream with Miracle Broth to renew skin.,24999
Shiseido Ultimate Sun Protector Lotion SPF 50+,https://images.pexels.com/photos/3738352/pexels-photo-3738352.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,Water-resistant sunscreen with advanced UV protection technology.,3499
Peter Thomas Roth Water Drench Hyaluronic Cloud Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Hydrating cloud cream with 30% hyaluronic acid complex.,3999
The Inkey List Salicylic Acid Cleanser,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,BHA cleanser with 2% salicylic acid to unclog pores.,899
Dr. Jart+ Ceramidin Cream,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Intensive moisturizer with ceramides to strengthen skin barrier.,3499
Origins GinZing Energy-Boosting Gel Moisturizer,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Lightweight gel moisturizer with ginseng and coffee bean.,2299
Bioderma Sensibio H2O Micellar Water,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Gentle micellar water for sensitive skin.,1499
Fresh Rose Deep Hydration Face Cream,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Hydrating cream with rosewater and hyaluronic acid.,4499
Murad Rapid Age Spot and Pigment Lightening Serum,https://images.pexels.com/photos/3738355/pexels-photo-3738355.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Brightening serum with hydroquinone to fade dark spots.,5999
Neutrogena Hydro Boost Water Gel,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Oil-free gel moisturizer with hyaluronic acid.,1299
The Ordinary Natural Moisturizing Factors + HA,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Lightweight moisturizer with natural moisturizing factors.,799
Kiehl's Calendula Herbal Extract Toner,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Toner,Soothing toner with calendula petals for sensitive skin.,2299
Clinique Take The Day Off Cleansing Balm,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Melting cleansing balm that removes all makeup.,2799
Glow Recipe Plum Plump Hyaluronic Serum,https://images.pexels.com/photos/3738371/pexels-photo-3738371.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Hydrating serum with 5 types of hyaluronic acid and plum.,3299
CeraVe Renewing SA Cleanser,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Exfoliating cleanser with salicylic acid and ceramides.,1399
L'Oreal Paris Revitalift Anti-Aging Day Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Anti-aging moisturizer with pro-retinol and SPF.,1799
Paula's Choice Resist Super-Light Wrinkle Defense SPF 30,https://images.pexels.com/photos/3738351/pexels-photo-3738351.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,Mineral sunscreen with antioxidants for sensitive skin.,2999
Sunday Riley Luna Sleeping Night Oil,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Retinoid night oil with blue tansy and chamomile.,7999
The Ordinary Granactive Retinoid 2% Emulsion,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Advanced retinoid formula for visible anti-aging benefits.,999
Aveeno Positively Radiant Daily Moisturizer SPF 30,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Daily moisturizer with soy complex and SPF protection.,1199
Dermalogica Special Cleansing Gel,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Gentle foaming cleanser for all skin types.,2499
Clinique All About Eyes Rich,https://images.pexels.com/photos/3738350/pexels-photo-3738350.jpeg?auto=compress&cs=tinysrgb&w=600,Eye Cream,Rich eye cream to reduce dark circles and puffiness.,3499
The Inkey List Caffeine Eye Cream,https://images.pexels.com/photos/3738350/pexels-photo-3738350.jpeg?auto=compress&cs=tinysrgb&w=600,Eye Cream,Caffeine eye cream to reduce puffiness and dark circles.,899
Kiehl's Avocado Eye Cream,https://images.pexels.com/photos/3738350/pexels-photo-3738350.jpeg?auto=compress&cs=tinysrgb&w=600,Eye Cream,"Rich eye cream with avocado oil for dry, delicate eye area.",3299
Olay Eyes Ultimate Eye Cream,https://images.pexels.com/photos/3738350/pexels-photo-3738350.jpeg?auto=compress&cs=tinysrgb&w=600,Eye Cream,Anti-aging eye cream with peptides and niacinamide.,1499
La Roche-Posay Anthelios Melt-In Milk Sunscreen SPF 60,https://images.pexels.com/photos/3738352/pexels-photo-3738352.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,High protection sunscreen with Cell-Ox Shield technology.,1999
Neutrogena Makeup Remover Cleansing Towelettes,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Pre-moistened wipes that remove makeup and cleanse skin.,699
The Ordinary Azelaic Acid Suspension 10%,https://images.pexels.com/photos/3735638/pexels-photo-3735638.jpeg?auto=compress&cs=tinysrgb&w=600,Treatment,Brightening cream with azelaic acid to improve skin texture.,799
CeraVe PM Facial Moisturizing Lotion,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Nighttime moisturizer with niacinamide and ceramides.,1299
Paula's Choice Clinical 1% Retinol Treatment,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=600,Treatment,High-strength retinol treatment for advanced anti-aging.,3999
Glow Recipe Avocado Melt Retinol Sleeping Mask,https://images.pexels.com/photos/3738370/pexels-photo-3738370.jpeg?auto=compress&cs=tinysrgb&w=600,Mask,Overnight retinol mask with avocado and ceramides.,3499
Laneige Lip Sleeping Mask,https://images.pexels.com/photos/3735637/pexels-photo-3735637.jpeg?auto=compress&cs=tinysrgb&w=600,Lip Care,Overnight lip mask with vitamin C and hyaluronic acid.,1999
Fresh Sugar Advanced Therapy Lip Treatment,https://images.pexels.com/photos/3735637/pexels-photo-3735637.jpeg?auto=compress&cs=tinysrgb&w=600,Lip Care,Intensive lip treatment with peptides and hyaluronic acid.,2499
The Ordinary Squalane Cleanser,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Hydrating cleanser that transforms from balm to oil to milk.,999
Kiehl's Ultra Facial Oil-Free Gel Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Lightweight gel-cream for oily and combination skin.,2999
Drunk Elephant Protini Polypeptide Cream,https://images.pexels.com/photos/3738360/pexels-photo-3738360.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Peptide-rich moisturizer to improve skin firmness and tone.,5999
The Inkey List Omega Water Cream,https://images.pexels.com/photos/3738358/pexels-photo-3738358.jpeg?auto=compress&cs=tinysrgb&w=600,Moisturizer,Lightweight water cream with omega fatty acids.,1299
COSRX Low pH Good Morning Gel Cleanser,https://images.pexels.com/photos/3738365/pexels-photo-3738365.jpeg?auto=compress&cs=tinysrgb&w=600,Cleanser,Low pH gel cleanser with tea tree oil for morning routine.,999
Beauty of Joseon Relief Sun Rice + Probiotics SPF 50,https://images.pexels.com/photos/3738352/pexels-photo-3738352.jpeg?auto=compress&cs=tinysrgb&w=600,Sunscreen,Korean sunscreen with rice and probiotics for sensitive skin.,1499
The Ordinary Multi-Peptide + HA Serum,https://images.pexels.com/photos/3738371/pexels-photo-3738371.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Anti-aging serum with multiple peptides and hyaluronic acid.,1299
CeraVe Resurfacing Retinol Serum,https://images.pexels.com/photos/3738357/pexels-photo-3738357.jpeg?auto=compress&cs=tinysrgb&w=600,Serum,Gentle retinol serum with ceramides and niacinamide.,1499
La Roche-Posay Effaclar Duo Acne Treatment,https://images.pexels.com/photos/3735630/pexels-photo-3735630.jpeg?auto=compress&cs=tinysrgb&w=600,Treatment,Acne treatment with benzoyl peroxide and salicylic acid.,1799
The Ordinary Lactic Acid 10% + HA,https://images.pexels.com/photos/3735639/pexels-photo-3735639.jpeg?auto=compress&cs=tinysrgb&w=600,Exfoliator,Gentle exfoliating serum with lactic acid and hyaluronic acid.,899
Paula's Choice Skin Perfecting 2% BHA Liquid,https://images.pexels.com/photos/3735636/pexels-photo-3735636.jpeg?auto=compress&cs=tinysrgb&w=600,Exfoliator,Leave-on exfoliant with salicylic acid to clear pores.,2299
Glow Recipe Watermelon Glow PHA + BHA Pore-Tight Toner,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Toner,Gentle exfoliating toner with PHA and BHA for smooth pores.,2799
Kiehl's Rare Earth Deep Pore Cleansing Masque,https://images.pexels.com/photos/3738370/pexels-photo-3738370.jpeg?auto=compress&cs=tinysrgb&w=600,Mask,Purifying clay mask with Amazonian white clay.,2999
Fresh Rose Face Mask,https://images.pexels.com/photos/3738370/pexels-photo-3738370.jpeg?auto=compress&cs=tinysrgb&w=600,Mask,Hydrating mask with real rose petals and cucumber extract.,3999
Origins Clear Improvement Active Charcoal Mask,https://images.pexels.com/photos/3738370/pexels-photo-3738370.jpeg?auto=compress&cs=tinysrgb&w=600,Mask,Detoxifying mask with activated charcoal and white China clay.,2299
The Inkey List Kaolin Clay Mask,https://images.pexels.com/photos/3738370/pexels-photo-3738370.jpeg?auto=compress&cs=tinysrgb&w=600,Mask,Purifying clay mask to absorb excess oil and unclog pores.,899
CeraVe Hydrating Toner,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Toner,Hydrating toner with ceramides and niacinamide.,1199
Thayers Witch Hazel Toner,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Toner,Alcohol-free toner with rose petal and witch hazel.,999
The Ordinary Glycolic Acid 7% Toning Solution,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Toner,Exfoliating toner with glycolic acid to brighten and smooth.,999
Paula's Choice Advanced Replenishing Toner,https://images.pexels.com/photos/3738362/pexels-photo-3738362.jpeg?auto=compress&cs=tinysrgb&w=600,Toner,Hydrating toner with ceramides and hyaluronic acid.,1999
